      x1      y1      x2      y2      x3      y3   api_r     res    TEST
     9.6     4.0   -15.8    10.8     1.3    -6.0   144.0   155.2    FAIL
   -10.5     9.5     3.3     1.0    -5.8    13.7    46.0    49.0    FAIL
     3.8    22.2     7.8   -62.0    -1.1   -11.5   234.0   273.7    FAIL
    26.0     5.8    -1.6    -8.2   -11.5   -65.0   704.5   714.5    FAIL
     7.8    17.0     8.3   -48.5    23.2    -3.8   510.0   499.1    FAIL
    -0.2    -0.4     1.0    17.8    -3.5    18.0    34.5    41.1    FAIL
    -1.8    27.7    -8.3    32.3     5.1    -7.1   104.0    97.2    FAIL
     3.9    39.5     2.0   -12.2    -3.2    11.9   139.0   157.3    FAIL
     9.3     4.6    -5.8     2.2     9.3   -23.8   189.0   214.4    FAIL
    21.8    16.2    13.8    -8.0     2.6    -6.8   140.0   140.3    FAIL
     4.9     9.5    11.1     8.0     2.8    11.0     6.0     3.1    FAIL
    -1.7    -6.4    11.1    -5.4   -16.0    11.7   109.5   123.0    FAIL
    -2.0     6.3   -20.8   -13.4     4.0   -10.0   201.0   212.3    FAIL
    -1.3   -36.0    -8.5    11.6    -4.8   -40.0    84.5    97.7    FAIL
   -10.7   -19.0    28.3    -3.5     6.3    21.0   632.0   648.2    FAIL
    -9.0   -17.0    -3.1     9.9   100.0    30.0  1276.0  1327.4    FAIL
    19.0   -12.0    -1.4    -8.1     3.7   -13.0    42.0    40.0    FAIL
     9.8    -4.5    49.0    -1.0   -16.8    10.9   317.5   348.4    FAIL
    -8.0   -18.5   -15.3    -9.5    41.0    10.8   318.5   327.4    FAIL
   -29.5     6.9    -7.3    55.0   -50.0    16.5   624.5   599.6    FAIL
    13.5     4.3   -34.0    -7.9     2.2     4.3    60.5    68.9    FAIL
     7.0     0.7    14.0   -37.0    10.1    -3.0    45.0    45.5    FAIL
     0.6    -1.0    -2.1    -6.0   -14.8    -4.8    32.0    33.4    FAIL
